                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.24349,                0.61017,                0.29782,                0.93434,                0.55507,                0.58431,                0.58653,                0.46993,                0.56304,                0.57093,                0.57253,                  0.405,                0.77439,                  2.028,                 1.8011,                 1.5032,             0.00017209,             0.00017209,             0.00017209
                      2,                0.30955,                0.71007,                0.46505,                0.97504,                0.59613,                0.44123,                0.50836,                0.39491,                0.57688,                0.42137,                0.48248,                0.35368,                0.95426,                 2.3674,                 2.5029,                 1.6468,             0.00034054,             0.00034054,             0.00034054
                      3,                0.34382,                0.80341,                0.63716,                0.97739,                0.50064,                0.48695,                0.49066,                 0.3737,                0.59822,                0.40651,                 0.4721,                0.33135,                0.98047,                 2.3028,                 2.3676,                 1.7218,             0.00050205,             0.00050205,             0.00050205
                      4,                0.39493,                0.95198,                0.83768,                 1.0321,                0.58282,                0.40271,                 0.4488,                0.35055,                0.58297,                0.39219,                0.42814,                0.29223,                0.88479,                 2.1424,                 2.4332,                 1.6211,             0.00049476,             0.00049476,             0.00049476
                      5,                0.43802,                 1.1079,                0.86201,                 1.0925,                0.54814,                0.58486,                0.55231,                0.40649,                0.52733,                0.56544,                0.51763,                0.33752,                  0.906,                 2.0845,                 1.9508,                 1.5583,             0.00048434,             0.00048434,             0.00048434
                      6,                0.41441,                 1.0169,                0.74227,                 1.0584,                 0.6077,                0.50639,                0.53267,                0.40817,                0.59308,                 0.4953,                0.51252,                0.36437,                0.92809,                 2.1883,                 1.9113,                 1.6234,             0.00047393,             0.00047393,             0.00047393
                      7,                0.40614,                0.97151,                0.68719,                 1.0496,                0.51662,                0.49813,                0.54897,                0.42799,                 0.4844,                0.48724,                0.52518,                0.37401,                0.92464,                 2.2097,                 1.9145,                 1.6299,             0.00046351,             0.00046351,             0.00046351
                      8,                 0.4011,                 1.0508,                0.64832,                 1.0477,                0.64238,                0.47176,                0.55866,                0.42663,                0.63316,                0.46723,                0.54734,                0.37203,                 1.0067,                 2.0554,                 1.9457,                 1.7054,              0.0004531,              0.0004531,              0.0004531
                      9,                 0.4158,                 0.9678,                0.76278,                 1.0491,                0.57469,                0.46895,                0.50538,                0.37777,                0.56194,                0.45514,                0.48734,                0.32235,                 1.0231,                 2.3645,                 2.5039,                 1.7015,             0.00044268,             0.00044268,             0.00044268
                     10,                0.40977,                0.96157,                0.75098,                 1.0596,                0.55628,                0.50836,                0.51582,                0.38564,                0.50644,                0.46407,                0.47103,                0.30304,                 1.0014,                 2.8802,                 2.1416,                 1.7454,             0.00043227,             0.00043227,             0.00043227
