                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84703,                    2.6,                 4.4995,                 1.3067,                0.16741,                0.38005,                0.16611,                0.12105,                0.16561,                0.37264,                0.16484,                0.11156,                0.92458,                  1.892,                 5.4039,                 1.5523,             0.00017209,             0.00017209,             0.00017209
                      2,                0.73959,                 1.8981,                 2.8666,                 1.2212,                0.30245,                0.29971,                0.26458,                 0.1884,                0.25758,                 0.2979,                0.24263,                0.14735,                  1.037,                 2.6912,                 3.3272,                 1.7129,             0.00034054,             0.00034054,             0.00034054
                      3,                0.79714,                 1.8283,                 2.5957,                 1.2491,                0.30849,                0.37169,                0.25697,                0.16551,                0.26827,                0.35665,                0.23378,                0.14592,                 1.0299,                 2.2161,                 3.0174,                   1.73,             0.00050205,             0.00050205,             0.00050205
                      4,                0.87646,                 1.8959,                 2.4061,                 1.3039,                0.30133,                0.43107,                0.28091,                0.18731,                0.28859,                0.38089,                0.26034,                0.14962,                 1.1412,                 2.7955,                 3.4005,                 1.8104,             0.00049476,             0.00049476,             0.00049476
                      5,                0.89941,                 1.9133,                 2.3021,                 1.3195,                0.36357,                0.30335,                 0.2838,                 0.1949,                0.35905,                0.30212,                0.26101,                0.12874,                 1.1628,                  2.659,                 2.6079,                 1.8321,             0.00049476,             0.00049476,             0.00049476
                      6,                0.88289,                 1.9321,                 2.2142,                  1.331,                0.36773,                0.38353,                0.34909,                0.24654,                0.36773,                0.38353,                0.34264,                0.22532,                 1.1484,                 2.1805,                 2.3363,                 1.8086,             0.00048434,             0.00048434,             0.00048434
                      7,                0.90152,                 1.9221,                 2.2139,                 1.3316,                0.34016,                0.41125,                0.36075,                 0.1781,                0.33945,                0.40563,                0.34439,                0.16922,                 1.4874,                 2.0255,                 2.6767,                 2.1153,             0.00047393,             0.00047393,             0.00047393
                      8,                 0.8509,                 1.8672,                 2.0735,                 1.2755,                0.35898,                0.40742,                0.40907,                0.27655,                0.33496,                0.37378,                0.37278,                0.23061,                 1.1664,                 2.2003,                  2.263,                  1.756,             0.00046351,             0.00046351,             0.00046351
                      9,                0.84082,                 1.8079,                 1.9762,                 1.2899,                0.46958,                0.33599,                0.35918,                0.23423,                0.44925,                0.32392,                0.33275,                0.20274,                 1.1907,                 2.3207,                 2.6321,                  1.791,              0.0004531,              0.0004531,              0.0004531
                     10,                0.82922,                 1.7206,                 1.9102,                 1.2685,                0.48949,                0.39919,                0.43128,                0.27794,                  0.453,                0.37578,                0.37137,                 0.2327,                 1.1335,                 2.3405,                 2.2369,                  1.763,             0.00044268,             0.00044268,             0.00044268
                     11,                0.78616,                 1.6959,                  1.836,                  1.225,                0.45626,                0.45971,                0.44848,                0.31319,                0.40471,                0.47749,                0.43278,                0.27858,                  1.059,                 2.1027,                 2.2495,                 1.6487,             0.00043227,             0.00043227,             0.00043227
                     12,                0.79173,                 1.6542,                 1.8354,                  1.251,                0.37789,                0.49158,                 0.4698,                0.33474,                0.35908,                0.47168,                0.45193,                0.28391,                 1.0432,                  2.058,                 2.1378,                 1.6404,             0.00042185,             0.00042185,             0.00042185
                     13,                0.77858,                  1.666,                 1.7826,                  1.222,                0.48237,                0.37984,                 0.4139,                0.30975,                0.49829,                0.37674,                0.41123,                0.27601,                 1.0605,                 1.8725,                 2.1293,                 1.7084,             0.00041144,             0.00041144,             0.00041144
                     14,                0.76078,                 1.5843,                 1.7325,                 1.2222,                0.51205,                0.43374,                 0.4884,                 0.3604,                0.49083,                0.41469,                0.45832,                0.30862,                 1.0004,                 1.8975,                 1.9507,                 1.5591,             0.00040102,             0.00040102,             0.00040102
                     15,                 0.7564,                 1.6506,                 1.7437,                 1.2231,                0.44519,                0.53544,                0.51042,                0.37308,                0.42442,                0.48618,                0.46932,                0.33637,                 1.0085,                 1.9245,                 1.9177,                 1.6068,             0.00039061,             0.00039061,             0.00039061
                     16,                0.73297,                 1.5663,                 1.6869,                 1.2049,                0.51319,                0.44207,                0.49591,                0.36363,                 0.5074,                0.42486,                0.46268,                0.28134,                  1.049,                 2.2658,                 1.9944,                 1.6949,             0.00038019,             0.00038019,             0.00038019
                     17,                0.71719,                 1.4652,                 1.5672,                 1.1973,                0.53845,                 0.4154,                0.46333,                0.31472,                0.48209,                0.39577,                0.42259,                0.27775,                 1.0928,                 2.0784,                 2.1096,                 1.7424,             0.00036978,             0.00036978,             0.00036978
                     18,                0.72606,                  1.415,                 1.4873,                 1.2053,                0.54253,                0.42988,                0.48534,                0.34271,                0.54001,                0.43099,                0.47275,                0.31997,                 1.0426,                 2.0438,                  1.934,                 1.6475,             0.00035936,             0.00035936,             0.00035936
                     19,                0.67589,                 1.4142,                 1.5089,                 1.1523,                0.56079,                0.55077,                0.54929,                0.38425,                 0.5321,                0.53613,                0.52226,                0.31933,                0.98478,                 2.0795,                 1.8599,                 1.5857,             0.00034895,             0.00034895,             0.00034895
                     20,                0.68019,                 1.4089,                 1.4904,                 1.1646,                0.45123,                0.48145,                 0.4803,                0.34835,                 0.4228,                0.46388,                0.45227,                0.30989,                0.95955,                 1.8863,                 2.0406,                  1.583,             0.00033853,             0.00033853,             0.00033853
                     21,                0.67195,                 1.4279,                 1.4278,                 1.1658,                 0.6724,                 0.4565,                 0.5508,                0.40501,                0.70925,                0.40467,                0.51193,                0.35007,                0.92913,                 1.9842,                 1.7913,                  1.598,             0.00032812,             0.00032812,             0.00032812
                     22,                0.66238,                 1.3322,                  1.383,                 1.1595,                0.54739,                0.54881,                 0.5383,                0.39217,                0.53821,                0.53475,                0.51548,                0.35636,                0.98213,                 1.7708,                 1.8348,                 1.5936,              0.0003177,              0.0003177,              0.0003177
                     23,                0.63624,                 1.2731,                 1.3304,                 1.1443,                0.57141,                0.50284,                0.53996,                0.39477,                 0.5303,                 0.4657,                0.49035,                  0.342,                0.97994,                  1.981,                 1.8528,                 1.6196,             0.00030729,             0.00030729,             0.00030729
                     24,                0.60097,                 1.2591,                 1.2954,                 1.0996,                0.54296,                0.51914,                0.51832,                0.36868,                0.54296,                0.51914,                0.50536,                 0.3243,                0.95626,                 1.8985,                 1.9725,                 1.5786,             0.00029687,             0.00029687,             0.00029687
                     25,                0.63203,                 1.2471,                  1.281,                 1.1416,                0.54104,                0.54502,                0.54756,                0.39435,                0.54284,                0.54271,                0.54838,                0.35923,                0.98006,                 1.7322,                  1.844,                 1.6024,             0.00028646,             0.00028646,             0.00028646
                     26,                0.60275,                 1.1727,                 1.2099,                 1.1148,                0.53612,                 0.5718,                0.54388,                 0.4037,                0.52797,                0.55837,                0.53349,                 0.3666,                0.98572,                  1.742,                 1.9147,                 1.6192,             0.00027604,             0.00027604,             0.00027604
                     27,                0.59097,                 1.1406,                 1.1946,                 1.1113,                0.58142,                0.56537,                0.58385,                0.44203,                 0.5656,                0.54089,                0.56387,                0.39437,                0.96683,                 1.6836,                  1.757,                 1.5799,             0.00026563,             0.00026563,             0.00026563
                     28,                0.59632,                 1.2422,                 1.1965,                 1.1094,                0.54755,                0.54527,                0.57001,                0.43069,                0.56275,                0.52912,                0.55856,                0.39107,                0.97912,                 1.8188,                 1.8299,                  1.629,             0.00025522,             0.00025522,             0.00025522
                     29,                 0.5738,                 1.2275,                 1.1558,                 1.0988,                0.71915,                 0.4996,                0.59786,                0.43467,                0.68082,                0.47634,                0.55747,                0.38155,                0.97642,                   1.89,                 1.7014,                 1.6369,              0.0002448,              0.0002448,              0.0002448
                     30,                0.55429,                 1.1412,                 1.0983,                 1.1009,                0.62376,                0.54982,                0.58767,                0.43135,                0.61774,                0.54466,                0.57646,                0.37793,                0.96174,                 1.7476,                 1.7314,                 1.5814,             0.00023439,             0.00023439,             0.00023439
